"DBKEY","Station","Daily.Date","Data.Value","Qualifier","Revision.Date","Date","UNITS","STATION","DATE"
"06832","L OKEE",2021-06-14,12.5,"",2021-06-15,2021-06-14,"ft NGVD29","LOK1",2021-06-14
"06832","L OKEE",2021-06-15,12.49,"",2021-06-16,2021-06-15,"ft NGVD29","LOK1",2021-06-15
"06832","L OKEE",2021-06-16,12.51,"",2021-06-17,2021-06-16,"ft NGVD29","LOK1",2021-06-16
"06832","L OKEE",2021-06-17,12.57,"",2021-06-18,2021-06-17,"ft NGVD29","LOK1",2021-06-17
"06832","L OKEE",2021-06-18,12.58,"",2021-06-19,2021-06-18,"ft NGVD29","LOK1",2021-06-18
"06832","L OKEE",2021-06-19,12.57,"",2021-06-20,2021-06-19,"ft NGVD29","LOK1",2021-06-19
"06832","L OKEE",2021-06-20,12.56,"",2021-06-21,2021-06-20,"ft NGVD29","LOK1",2021-06-20
"06832","L OKEE",2021-06-21,12.57,"",2021-06-22,2021-06-21,"ft NGVD29","LOK1",2021-06-21
"06832","L OKEE",2021-06-22,12.57,"",2021-06-23,2021-06-22,"ft NGVD29","LOK1",2021-06-22
"06832","L OKEE",2021-06-23,12.59,"",2021-06-24,2021-06-23,"ft NGVD29","LOK1",2021-06-23
"06832","L OKEE",2021-06-24,12.63,"",2021-06-25,2021-06-24,"ft NGVD29","LOK1",2021-06-24
"06832","L OKEE",2021-06-25,12.65,"",2021-06-26,2021-06-25,"ft NGVD29","LOK1",2021-06-25
"06832","L OKEE",2021-06-26,12.66,"",2021-06-27,2021-06-26,"ft NGVD29","LOK1",2021-06-26
"06832","L OKEE",2021-06-27,12.66,"",2021-06-28,2021-06-27,"ft NGVD29","LOK1",2021-06-27
"06832","L OKEE",2021-06-28,12.67,"",2021-06-29,2021-06-28,"ft NGVD29","LOK1",2021-06-28
"06832","L OKEE",2021-06-29,12.7,"",2021-06-30,2021-06-29,"ft NGVD29","LOK1",2021-06-29
"06832","L OKEE",2021-06-30,12.77,"",2021-07-01,2021-06-30,"ft NGVD29","LOK1",2021-06-30
"06832","L OKEE",2021-07-01,12.82,"",2021-07-02,2021-07-01,"ft NGVD29","LOK1",2021-07-01
"06832","L OKEE",2021-07-02,12.84,"",2021-07-03,2021-07-02,"ft NGVD29","LOK1",2021-07-02
"06832","L OKEE",2021-07-03,12.85,"",2021-07-04,2021-07-03,"ft NGVD29","LOK1",2021-07-03
"06832","L OKEE",2021-07-04,12.87,"",2021-07-05,2021-07-04,"ft NGVD29","LOK1",2021-07-04
"06832","L OKEE",2021-07-05,12.95,"",2021-07-06,2021-07-05,"ft NGVD29","LOK1",2021-07-05
"06832","L OKEE",2021-07-06,13.09,"",2021-07-07,2021-07-06,"ft NGVD29","LOK1",2021-07-06
"06832","L OKEE",2021-07-07,13.14,"",2021-07-08,2021-07-07,"ft NGVD29","LOK1",2021-07-07
"06832","L OKEE",2021-07-08,13.19,"",2021-07-09,2021-07-08,"ft NGVD29","LOK1",2021-07-08
"06832","L OKEE",2021-07-09,13.23,"",2021-07-10,2021-07-09,"ft NGVD29","LOK1",2021-07-09
"06832","L OKEE",2021-07-10,13.27,"",2021-07-11,2021-07-10,"ft NGVD29","LOK1",2021-07-10
"06832","L OKEE",2021-07-11,13.3,"",2021-07-12,2021-07-11,"ft NGVD29","LOK1",2021-07-11
"06832","L OKEE",2021-07-12,13.32,"",2021-07-13,2021-07-12,"ft NGVD29","LOK1",2021-07-12
"06832","L OKEE",2021-07-13,13.37,"",2021-07-14,2021-07-13,"ft NGVD29","LOK1",2021-07-13
"06832","L OKEE",2021-07-14,13.42,"",2021-07-15,2021-07-14,"ft NGVD29","LOK1",2021-07-14
"06832","L OKEE",2021-07-15,13.44,"",2021-07-20,2021-07-15,"ft NGVD29","LOK1",2021-07-15
"06832","L OKEE",2021-07-16,13.44,"",2021-07-20,2021-07-16,"ft NGVD29","LOK1",2021-07-16
"06832","L OKEE",2021-07-17,13.45,"",2021-07-20,2021-07-17,"ft NGVD29","LOK1",2021-07-17
"06832","L OKEE",2021-07-18,13.47,"",2021-07-20,2021-07-18,"ft NGVD29","LOK1",2021-07-18
"06832","L OKEE",2021-07-19,13.47,"",2021-07-20,2021-07-19,"ft NGVD29","LOK1",2021-07-19
"06832","L OKEE",2021-07-20,NA,"M",2023-12-11,2021-07-20,"ft NGVD29","LOK1",2021-07-20
"06832","L OKEE",2021-07-21,13.48,"",2021-07-22,2021-07-21,"ft NGVD29","LOK1",2021-07-21
"06832","L OKEE",2021-07-22,13.49,"",2021-07-23,2021-07-22,"ft NGVD29","LOK1",2021-07-22
"06832","L OKEE",2021-07-23,13.5,"",2021-07-24,2021-07-23,"ft NGVD29","LOK1",2021-07-23
"06832","L OKEE",2021-07-24,13.51,"",2021-07-25,2021-07-24,"ft NGVD29","LOK1",2021-07-24
"06832","L OKEE",2021-07-25,13.53,"",2021-07-26,2021-07-25,"ft NGVD29","LOK1",2021-07-25
"06832","L OKEE",2021-07-26,13.54,"",2021-07-27,2021-07-26,"ft NGVD29","LOK1",2021-07-26
"06832","L OKEE",2021-07-27,13.56,"",2021-07-28,2021-07-27,"ft NGVD29","LOK1",2021-07-27
"06832","L OKEE",2021-07-28,13.63,"",2021-07-29,2021-07-28,"ft NGVD29","LOK1",2021-07-28
"06832","L OKEE",2021-07-29,13.66,"",2021-07-30,2021-07-29,"ft NGVD29","LOK1",2021-07-29
"06832","L OKEE",2021-07-30,13.68,"",2021-07-31,2021-07-30,"ft NGVD29","LOK1",2021-07-30
"06832","L OKEE",2021-07-31,13.7,"",2021-08-01,2021-07-31,"ft NGVD29","LOK1",2021-07-31
"06832","L OKEE",2021-08-01,13.72,"",2021-08-02,2021-08-01,"ft NGVD29","LOK1",2021-08-01
"06832","L OKEE",2021-08-02,13.73,"",2021-08-03,2021-08-02,"ft NGVD29","LOK1",2021-08-02
"06832","L OKEE",2021-08-03,13.79,"",2021-08-04,2021-08-03,"ft NGVD29","LOK1",2021-08-03
"06832","L OKEE",2021-08-04,13.85,"",2021-08-05,2021-08-04,"ft NGVD29","LOK1",2021-08-04
"06832","L OKEE",2021-08-05,13.87,"",2021-08-06,2021-08-05,"ft NGVD29","LOK1",2021-08-05
"06832","L OKEE",2021-08-06,13.92,"",2021-08-07,2021-08-06,"ft NGVD29","LOK1",2021-08-06
"06832","L OKEE",2021-08-07,13.97,"",2021-08-08,2021-08-07,"ft NGVD29","LOK1",2021-08-07
"06832","L OKEE",2021-08-08,14,"",2021-08-09,2021-08-08,"ft NGVD29","LOK1",2021-08-08
"06832","L OKEE",2021-08-09,14.01,"",2021-08-10,2021-08-09,"ft NGVD29","LOK1",2021-08-09
"06832","L OKEE",2021-08-10,14.04,"",2021-08-11,2021-08-10,"ft NGVD29","LOK1",2021-08-10
"06832","L OKEE",2021-08-11,14.09,"",2021-08-12,2021-08-11,"ft NGVD29","LOK1",2021-08-11
"06832","L OKEE",2021-08-12,14.13,"",2021-08-13,2021-08-12,"ft NGVD29","LOK1",2021-08-12
"06832","L OKEE",2021-08-13,14.17,"",2021-08-14,2021-08-13,"ft NGVD29","LOK1",2021-08-13
"06832","L OKEE",2021-08-14,14.28,"",2021-08-15,2021-08-14,"ft NGVD29","LOK1",2021-08-14
"06832","L OKEE",2021-08-15,14.34,"",2021-08-24,2021-08-15,"ft NGVD29","LOK1",2021-08-15
"06832","L OKEE",2021-08-16,14.38,"",2021-08-17,2021-08-16,"ft NGVD29","LOK1",2021-08-16
"06832","L OKEE",2021-08-17,14.42,"",2021-08-18,2021-08-17,"ft NGVD29","LOK1",2021-08-17
"06832","L OKEE",2021-08-18,14.42,"",2021-08-19,2021-08-18,"ft NGVD29","LOK1",2021-08-18
"06832","L OKEE",2021-08-19,14.43,"",2021-08-24,2021-08-19,"ft NGVD29","LOK1",2021-08-19
"06832","L OKEE",2021-08-20,14.44,"",2021-08-24,2021-08-20,"ft NGVD29","LOK1",2021-08-20
"06832","L OKEE",2021-08-21,14.45,"",2021-08-24,2021-08-21,"ft NGVD29","LOK1",2021-08-21
"06832","L OKEE",2021-08-22,14.44,"",2021-08-24,2021-08-22,"ft NGVD29","LOK1",2021-08-22
"06832","L OKEE",2021-08-23,14.47,"",2021-08-24,2021-08-23,"ft NGVD29","LOK1",2021-08-23
"06832","L OKEE",2021-08-24,14.49,"",2021-08-25,2021-08-24,"ft NGVD29","LOK1",2021-08-24
"06832","L OKEE",2021-08-25,14.47,"",2021-08-26,2021-08-25,"ft NGVD29","LOK1",2021-08-25
"06832","L OKEE",2021-08-26,14.57,"",2021-08-27,2021-08-26,"ft NGVD29","LOK1",2021-08-26
"06832","L OKEE",2021-08-27,14.61,"",2021-08-28,2021-08-27,"ft NGVD29","LOK1",2021-08-27
"06832","L OKEE",2021-08-28,14.65,"",2021-08-29,2021-08-28,"ft NGVD29","LOK1",2021-08-28
"06832","L OKEE",2021-08-29,14.66,"",2021-08-30,2021-08-29,"ft NGVD29","LOK1",2021-08-29
"06832","L OKEE",2021-08-30,14.67,"",2021-08-31,2021-08-30,"ft NGVD29","LOK1",2021-08-30
"06832","L OKEE",2021-08-31,14.69,"",2021-09-01,2021-08-31,"ft NGVD29","LOK1",2021-08-31
"06832","L OKEE",2021-09-01,14.69,"",2021-09-03,2021-09-01,"ft NGVD29","LOK1",2021-09-01
"06832","L OKEE",2021-09-02,14.7,"",2021-09-03,2021-09-02,"ft NGVD29","LOK1",2021-09-02
"06832","L OKEE",2021-09-03,14.7,"",2021-09-04,2021-09-03,"ft NGVD29","LOK1",2021-09-03
"06832","L OKEE",2021-09-04,14.69,"",2021-09-05,2021-09-04,"ft NGVD29","LOK1",2021-09-04
"06832","L OKEE",2021-09-05,14.73,"",2021-09-16,2021-09-05,"ft NGVD29","LOK1",2021-09-05
"06832","L OKEE",2021-09-06,14.72,"",2021-09-16,2021-09-06,"ft NGVD29","LOK1",2021-09-06
"06832","L OKEE",2021-09-07,14.73,"",2021-09-16,2021-09-07,"ft NGVD29","LOK1",2021-09-07
"06832","L OKEE",2021-09-08,14.75,"",2021-09-16,2021-09-08,"ft NGVD29","LOK1",2021-09-08
"06832","L OKEE",2021-09-09,14.81,"",2021-09-16,2021-09-09,"ft NGVD29","LOK1",2021-09-09
"06832","L OKEE",2021-09-10,14.82,"",2021-09-15,2021-09-10,"ft NGVD29","LOK1",2021-09-10
"06832","L OKEE",2021-09-11,14.85,"",2021-09-16,2021-09-11,"ft NGVD29","LOK1",2021-09-11
"06832","L OKEE",2021-09-12,14.86,"",2021-09-16,2021-09-12,"ft NGVD29","LOK1",2021-09-12
"06832","L OKEE",2021-09-13,14.87,"",2021-09-15,2021-09-13,"ft NGVD29","LOK1",2021-09-13
"06832","L OKEE",2021-09-14,14.84,"",2021-09-24,2021-09-14,"ft NGVD29","LOK1",2021-09-14
"06832","L OKEE",2021-09-15,14.88,"",2021-09-24,2021-09-15,"ft NGVD29","LOK1",2021-09-15
"06832","L OKEE",2021-09-16,14.95,"",2021-09-17,2021-09-16,"ft NGVD29","LOK1",2021-09-16
"06832","L OKEE",2021-09-17,14.99,"",2021-09-18,2021-09-17,"ft NGVD29","LOK1",2021-09-17
"06832","L OKEE",2021-09-18,15.05,"",2021-09-19,2021-09-18,"ft NGVD29","LOK1",2021-09-18
"06832","L OKEE",2021-09-19,15.05,"",2021-09-24,2021-09-19,"ft NGVD29","LOK1",2021-09-19
"06832","L OKEE",2021-09-20,15.06,"",2021-09-21,2021-09-20,"ft NGVD29","LOK1",2021-09-20
"06832","L OKEE",2021-09-21,15.11,"",2021-09-22,2021-09-21,"ft NGVD29","LOK1",2021-09-21
"06832","L OKEE",2021-09-22,15.19,"",2021-09-24,2021-09-22,"ft NGVD29","LOK1",2021-09-22
"06832","L OKEE",2021-09-23,15.25,"",2021-09-24,2021-09-23,"ft NGVD29","LOK1",2021-09-23
"06832","L OKEE",2021-09-24,15.31,"",2021-09-25,2021-09-24,"ft NGVD29","LOK1",2021-09-24
"06832","L OKEE",2021-09-25,15.39,"",2021-09-26,2021-09-25,"ft NGVD29","LOK1",2021-09-25
"06832","L OKEE",2021-09-26,15.43,"",2021-10-02,2021-09-26,"ft NGVD29","LOK1",2021-09-26
"06832","L OKEE",2021-09-27,15.47,"",2021-10-02,2021-09-27,"ft NGVD29","LOK1",2021-09-27
"06832","L OKEE",2021-09-28,15.51,"",2021-10-02,2021-09-28,"ft NGVD29","LOK1",2021-09-28
"06832","L OKEE",2021-09-29,15.53,"",2021-10-02,2021-09-29,"ft NGVD29","LOK1",2021-09-29
"06832","L OKEE",2021-09-30,15.55,"",2021-10-02,2021-09-30,"ft NGVD29","LOK1",2021-09-30
"06832","L OKEE",2021-10-01,15.57,"",2021-10-02,2021-10-01,"ft NGVD29","LOK1",2021-10-01
"06832","L OKEE",2021-10-02,15.57,"",2021-10-03,2021-10-02,"ft NGVD29","LOK1",2021-10-02
"06832","L OKEE",2021-10-03,15.59,"",2021-10-04,2021-10-03,"ft NGVD29","LOK1",2021-10-03
"06832","L OKEE",2021-10-04,15.6,"",2021-10-05,2021-10-04,"ft NGVD29","LOK1",2021-10-04
"06832","L OKEE",2021-10-05,15.61,"",2021-10-06,2021-10-05,"ft NGVD29","LOK1",2021-10-05
"06832","L OKEE",2021-10-06,15.63,"",2021-10-07,2021-10-06,"ft NGVD29","LOK1",2021-10-06
"06832","L OKEE",2021-10-07,15.64,"",2021-10-08,2021-10-07,"ft NGVD29","LOK1",2021-10-07
"06832","L OKEE",2021-10-08,15.66,"",2021-10-09,2021-10-08,"ft NGVD29","LOK1",2021-10-08
"06832","L OKEE",2021-10-09,15.77,"",2021-10-10,2021-10-09,"ft NGVD29","LOK1",2021-10-09
"06832","L OKEE",2021-10-10,15.83,"",2021-10-11,2021-10-10,"ft NGVD29","LOK1",2021-10-10
"06832","L OKEE",2021-10-11,15.83,"",2021-10-12,2021-10-11,"ft NGVD29","LOK1",2021-10-11
"06832","L OKEE",2021-10-12,15.84,"",2021-10-13,2021-10-12,"ft NGVD29","LOK1",2021-10-12
"06832","L OKEE",2021-10-13,15.86,"",2021-10-14,2021-10-13,"ft NGVD29","LOK1",2021-10-13
"06832","L OKEE",2021-10-14,15.86,"",2021-10-15,2021-10-14,"ft NGVD29","LOK1",2021-10-14
"06832","L OKEE",2021-10-15,15.88,"",2021-10-16,2021-10-15,"ft NGVD29","LOK1",2021-10-15
"06832","L OKEE",2021-10-16,15.88,"",2021-10-17,2021-10-16,"ft NGVD29","LOK1",2021-10-16
"06832","L OKEE",2021-10-17,15.88,"",2021-10-18,2021-10-17,"ft NGVD29","LOK1",2021-10-17
"06832","L OKEE",2021-10-18,15.86,"",2021-10-19,2021-10-18,"ft NGVD29","LOK1",2021-10-18
"06832","L OKEE",2021-10-19,15.84,"",2021-10-20,2021-10-19,"ft NGVD29","LOK1",2021-10-19
"06832","L OKEE",2021-10-20,15.83,"",2021-10-21,2021-10-20,"ft NGVD29","LOK1",2021-10-20
"06832","L OKEE",2021-10-21,15.83,"",2021-10-23,2021-10-21,"ft NGVD29","LOK1",2021-10-21
"06832","L OKEE",2021-10-22,15.84,"",2021-10-25,2021-10-22,"ft NGVD29","LOK1",2021-10-22
"06832","L OKEE",2021-10-23,15.84,"",2021-10-25,2021-10-23,"ft NGVD29","LOK1",2021-10-23
"06832","L OKEE",2021-10-24,15.85,"",2021-10-25,2021-10-24,"ft NGVD29","LOK1",2021-10-24
"06832","L OKEE",2021-10-25,15.87,"",2021-10-26,2021-10-25,"ft NGVD29","LOK1",2021-10-25
"06832","L OKEE",2021-10-26,15.89,"",2021-10-27,2021-10-26,"ft NGVD29","LOK1",2021-10-26
"06832","L OKEE",2021-10-27,15.88,"",2021-10-28,2021-10-27,"ft NGVD29","LOK1",2021-10-27
"06832","L OKEE",2021-10-28,15.88,"",2021-10-29,2021-10-28,"ft NGVD29","LOK1",2021-10-28
"06832","L OKEE",2021-10-29,15.92,"",2021-10-30,2021-10-29,"ft NGVD29","LOK1",2021-10-29
"06832","L OKEE",2021-10-30,15.9,"",2021-10-31,2021-10-30,"ft NGVD29","LOK1",2021-10-30
"06832","L OKEE",2021-10-31,15.87,"",2021-11-01,2021-10-31,"ft NGVD29","LOK1",2021-10-31
"06832","L OKEE",2021-11-01,15.85,"",2021-11-08,2021-11-01,"ft NGVD29","LOK1",2021-11-01
"06832","L OKEE",2021-11-02,15.83,"",2021-11-03,2021-11-02,"ft NGVD29","LOK1",2021-11-02
"06832","L OKEE",2021-11-03,15.83,"",2021-11-04,2021-11-03,"ft NGVD29","LOK1",2021-11-03
"06832","L OKEE",2021-11-04,15.83,"",2021-11-05,2021-11-04,"ft NGVD29","LOK1",2021-11-04
"06832","L OKEE",2021-11-05,15.92,"",2021-11-06,2021-11-05,"ft NGVD29","LOK1",2021-11-05
"06832","L OKEE",2021-11-06,16.02,"",2021-11-08,2021-11-06,"ft NGVD29","LOK1",2021-11-06
"06832","L OKEE",2021-11-07,16.02,"",2021-11-08,2021-11-07,"ft NGVD29","LOK1",2021-11-07
"06832","L OKEE",2021-11-08,16,"",2021-11-09,2021-11-08,"ft NGVD29","LOK1",2021-11-08
"06832","L OKEE",2021-11-09,15.99,"",2021-11-10,2021-11-09,"ft NGVD29","LOK1",2021-11-09
"06832","L OKEE",2021-11-10,15.98,"",2021-11-11,2021-11-10,"ft NGVD29","LOK1",2021-11-10
"06832","L OKEE",2021-11-11,15.99,"",2021-11-12,2021-11-11,"ft NGVD29","LOK1",2021-11-11
"06832","L OKEE",2021-11-12,16.02,"",2021-11-13,2021-11-12,"ft NGVD29","LOK1",2021-11-12
"06832","L OKEE",2021-11-13,16.04,"",2021-11-14,2021-11-13,"ft NGVD29","LOK1",2021-11-13
"06832","L OKEE",2021-11-14,16.03,"",2021-11-15,2021-11-14,"ft NGVD29","LOK1",2021-11-14
"06832","L OKEE",2021-11-15,16.01,"",2021-11-16,2021-11-15,"ft NGVD29","LOK1",2021-11-15
"06832","L OKEE",2021-11-16,16,"",2021-11-17,2021-11-16,"ft NGVD29","LOK1",2021-11-16
"06832","L OKEE",2021-11-17,16,"",2021-11-18,2021-11-17,"ft NGVD29","LOK1",2021-11-17
"06832","L OKEE",2021-11-18,16,"",2021-11-19,2021-11-18,"ft NGVD29","LOK1",2021-11-18
"06832","L OKEE",2021-11-19,16.02,"",2021-11-20,2021-11-19,"ft NGVD29","LOK1",2021-11-19
"06832","L OKEE",2021-11-20,16.02,"",2021-11-21,2021-11-20,"ft NGVD29","LOK1",2021-11-20
"06832","L OKEE",2021-11-21,16.07,"",2021-11-22,2021-11-21,"ft NGVD29","LOK1",2021-11-21
"06832","L OKEE",2021-11-22,16.08,"",2021-11-23,2021-11-22,"ft NGVD29","LOK1",2021-11-22
"06832","L OKEE",2021-11-23,16.06,"",2021-11-24,2021-11-23,"ft NGVD29","LOK1",2021-11-23
"06832","L OKEE",2021-11-24,16.02,"",2021-11-25,2021-11-24,"ft NGVD29","LOK1",2021-11-24
"06832","L OKEE",2021-11-25,16.01,"",2021-11-26,2021-11-25,"ft NGVD29","LOK1",2021-11-25
"06832","L OKEE",2021-11-26,16.01,"",2021-11-27,2021-11-26,"ft NGVD29","LOK1",2021-11-26
"06832","L OKEE",2021-11-27,16,"",2021-11-28,2021-11-27,"ft NGVD29","LOK1",2021-11-27
"06832","L OKEE",2021-11-28,15.98,"",2021-11-29,2021-11-28,"ft NGVD29","LOK1",2021-11-28
"06832","L OKEE",2021-11-29,15.97,"",2021-12-01,2021-11-29,"ft NGVD29","LOK1",2021-11-29
"06832","L OKEE",2021-11-30,15.94,"",2021-12-01,2021-11-30,"ft NGVD29","LOK1",2021-11-30
"06832","L OKEE",2021-12-01,15.93,"",2021-12-02,2021-12-01,"ft NGVD29","LOK1",2021-12-01
"06832","L OKEE",2021-12-02,15.91,"",2021-12-03,2021-12-02,"ft NGVD29","LOK1",2021-12-02
"06832","L OKEE",2021-12-03,15.89,"",2021-12-04,2021-12-03,"ft NGVD29","LOK1",2021-12-03
"06832","L OKEE",2021-12-04,15.88,"",2021-12-05,2021-12-04,"ft NGVD29","LOK1",2021-12-04
"06832","L OKEE",2021-12-05,15.87,"",2021-12-06,2021-12-05,"ft NGVD29","LOK1",2021-12-05
"06832","L OKEE",2021-12-06,15.86,"",2021-12-07,2021-12-06,"ft NGVD29","LOK1",2021-12-06
"06832","L OKEE",2021-12-07,15.86,"",2021-12-08,2021-12-07,"ft NGVD29","LOK1",2021-12-07
"06832","L OKEE",2021-12-08,15.84,"",2021-12-09,2021-12-08,"ft NGVD29","LOK1",2021-12-08
"06832","L OKEE",2021-12-09,15.83,"",2021-12-10,2021-12-09,"ft NGVD29","LOK1",2021-12-09
"06832","L OKEE",2021-12-10,15.82,"",2021-12-11,2021-12-10,"ft NGVD29","LOK1",2021-12-10
"06832","L OKEE",2021-12-11,15.81,"",2021-12-12,2021-12-11,"ft NGVD29","LOK1",2021-12-11
"06832","L OKEE",2021-12-12,15.8,"",2021-12-13,2021-12-12,"ft NGVD29","LOK1",2021-12-12
"06832","L OKEE",2021-12-13,15.78,"",2021-12-14,2021-12-13,"ft NGVD29","LOK1",2021-12-13
"06832","L OKEE",2021-12-14,15.77,"",2021-12-15,2021-12-14,"ft NGVD29","LOK1",2021-12-14
"06832","L OKEE",2021-12-15,15.75,"",2021-12-16,2021-12-15,"ft NGVD29","LOK1",2021-12-15
"06832","L OKEE",2021-12-16,15.75,"",2021-12-17,2021-12-16,"ft NGVD29","LOK1",2021-12-16
"06832","L OKEE",2021-12-17,15.74,"",2021-12-18,2021-12-17,"ft NGVD29","LOK1",2021-12-17
"06832","L OKEE",2021-12-18,15.73,"",2021-12-19,2021-12-18,"ft NGVD29","LOK1",2021-12-18
"06832","L OKEE",2021-12-19,15.73,"",2021-12-20,2021-12-19,"ft NGVD29","LOK1",2021-12-19
"06832","L OKEE",2021-12-20,15.74,"",2021-12-21,2021-12-20,"ft NGVD29","LOK1",2021-12-20
"06832","L OKEE",2021-12-21,15.78,"",2021-12-22,2021-12-21,"ft NGVD29","LOK1",2021-12-21
"06832","L OKEE",2021-12-22,15.73,"",2021-12-23,2021-12-22,"ft NGVD29","LOK1",2021-12-22
"06832","L OKEE",2021-12-23,15.67,"",2021-12-24,2021-12-23,"ft NGVD29","LOK1",2021-12-23
"06832","L OKEE",2021-12-24,15.66,"",2021-12-25,2021-12-24,"ft NGVD29","LOK1",2021-12-24
"06832","L OKEE",2021-12-25,15.64,"",2021-12-26,2021-12-25,"ft NGVD29","LOK1",2021-12-25
