"DBKEY","Station","Daily.Date","Data.Value","Qualifier","Revision.Date","Date","STATION","lake","DATE"
"15529","S58_H",2022-10-15,64.76,"",2022-10-20,2022-10-15,"S58_H","ALLI",2022-10-15
"15529","S58_H",2022-10-16,64.71,"",2022-10-20,2022-10-16,"S58_H","ALLI",2022-10-16
"15529","S58_H",2022-10-17,64.65,"",2022-10-20,2022-10-17,"S58_H","ALLI",2022-10-17
"15529","S58_H",2022-10-18,64.56,"",2022-10-27,2022-10-18,"S58_H","ALLI",2022-10-18
"15529","S58_H",2022-10-19,64.44,"",2022-10-27,2022-10-19,"S58_H","ALLI",2022-10-19
"15529","S58_H",2022-10-20,64.38,"",2022-10-27,2022-10-20,"S58_H","ALLI",2022-10-20
"15529","S58_H",2022-10-21,64.29,"",2022-10-27,2022-10-21,"S58_H","ALLI",2022-10-21
"15529","S58_H",2022-10-22,64.26,"",2022-10-27,2022-10-22,"S58_H","ALLI",2022-10-22
"15529","S58_H",2022-10-23,64.25,"",2022-10-27,2022-10-23,"S58_H","ALLI",2022-10-23
"15529","S58_H",2022-10-24,64.23,"",2022-10-27,2022-10-24,"S58_H","ALLI",2022-10-24
"15529","S58_H",2022-10-25,64.24,"",2022-10-27,2022-10-25,"S58_H","ALLI",2022-10-25
"15529","S58_H",2022-10-26,64.22,"",2022-11-09,2022-10-26,"S58_H","ALLI",2022-10-26
"15529","S58_H",2022-10-27,64.18,"",2022-11-09,2022-10-27,"S58_H","ALLI",2022-10-27
"15529","S58_H",2022-10-28,64.12,"",2022-11-09,2022-10-28,"S58_H","ALLI",2022-10-28
"15529","S58_H",2022-10-29,64.02,"",2022-11-09,2022-10-29,"S58_H","ALLI",2022-10-29
"15529","S58_H",2022-10-30,64,"",2022-11-09,2022-10-30,"S58_H","ALLI",2022-10-30
"15529","S58_H",2022-10-31,63.94,"",2022-11-09,2022-10-31,"S58_H","ALLI",2022-10-31
"15529","S58_H",2022-11-01,63.96,"",2022-11-09,2022-11-01,"S58_H","ALLI",2022-11-01
"15529","S58_H",2022-11-02,63.97,"",2022-11-09,2022-11-02,"S58_H","ALLI",2022-11-02
"15529","S58_H",2022-11-03,63.97,"",2022-11-09,2022-11-03,"S58_H","ALLI",2022-11-03
"15529","S58_H",2022-11-04,63.96,"",2022-11-09,2022-11-04,"S58_H","ALLI",2022-11-04
"15529","S58_H",2022-11-05,63.97,"",2022-11-09,2022-11-05,"S58_H","ALLI",2022-11-05
"15529","S58_H",2022-11-06,63.93,"",2022-11-09,2022-11-06,"S58_H","ALLI",2022-11-06
"15529","S58_H",2022-11-07,63.86,"",2022-11-09,2022-11-07,"S58_H","ALLI",2022-11-07
"15529","S58_H",2022-11-08,63.73,"",2022-11-17,2022-11-08,"S58_H","ALLI",2022-11-08
"15529","S58_H",2022-11-09,63.6,"",2022-11-17,2022-11-09,"S58_H","ALLI",2022-11-09
"15529","S58_H",2022-11-10,63.78,"",2022-11-17,2022-11-10,"S58_H","ALLI",2022-11-10
"15529","S58_H",2022-11-11,63.9,"",2022-11-17,2022-11-11,"S58_H","ALLI",2022-11-11
"15529","S58_H",2022-11-12,63.94,"",2022-11-17,2022-11-12,"S58_H","ALLI",2022-11-12
"15529","S58_H",2022-11-13,63.97,"",2022-11-17,2022-11-13,"S58_H","ALLI",2022-11-13
"15529","S58_H",2022-11-14,63.96,"",2022-11-17,2022-11-14,"S58_H","ALLI",2022-11-14
"15529","S58_H",2022-11-15,63.96,"",2022-11-17,2022-11-15,"S58_H","ALLI",2022-11-15
"15529","S58_H",2022-11-16,63.97,"",2022-11-29,2022-11-16,"S58_H","ALLI",2022-11-16
"15529","S58_H",2022-11-17,63.95,"",2022-11-29,2022-11-17,"S58_H","ALLI",2022-11-17
"15529","S58_H",2022-11-18,63.93,"",2022-11-29,2022-11-18,"S58_H","ALLI",2022-11-18
"15529","S58_H",2022-11-19,63.88,"",2022-11-29,2022-11-19,"S58_H","ALLI",2022-11-19
"15529","S58_H",2022-11-20,63.84,"",2022-11-29,2022-11-20,"S58_H","ALLI",2022-11-20
"15529","S58_H",2022-11-21,63.83,"",2022-11-29,2022-11-21,"S58_H","ALLI",2022-11-21
"15529","S58_H",2022-11-22,63.86,"",2022-11-29,2022-11-22,"S58_H","ALLI",2022-11-22
"15529","S58_H",2022-11-23,63.89,"",2022-11-29,2022-11-23,"S58_H","ALLI",2022-11-23
"15529","S58_H",2022-11-24,63.93,"",2022-11-29,2022-11-24,"S58_H","ALLI",2022-11-24
"15529","S58_H",2022-11-25,63.97,"",2022-11-29,2022-11-25,"S58_H","ALLI",2022-11-25
"15529","S58_H",2022-11-26,63.98,"",2022-11-29,2022-11-26,"S58_H","ALLI",2022-11-26
"15529","S58_H",2022-11-27,64.03,"",2022-11-29,2022-11-27,"S58_H","ALLI",2022-11-27
"15529","S58_H",2022-11-28,64.02,"",2022-12-05,2022-11-28,"S58_H","ALLI",2022-11-28
"15529","S58_H",2022-11-29,64.03,"",2022-12-05,2022-11-29,"S58_H","ALLI",2022-11-29
"15529","S58_H",2022-11-30,64.05,"",2022-12-05,2022-11-30,"S58_H","ALLI",2022-11-30
"15529","S58_H",2022-12-01,64.03,"",2022-12-05,2022-12-01,"S58_H","ALLI",2022-12-01
"15529","S58_H",2022-12-02,64.04,"",2022-12-05,2022-12-02,"S58_H","ALLI",2022-12-02
"15529","S58_H",2022-12-03,64.06,"",2022-12-05,2022-12-03,"S58_H","ALLI",2022-12-03
"15529","S58_H",2022-12-04,64.07,"",2022-12-14,2022-12-04,"S58_H","ALLI",2022-12-04
"15529","S58_H",2022-12-05,64.07,"",2022-12-14,2022-12-05,"S58_H","ALLI",2022-12-05
"15529","S58_H",2022-12-06,64.07,"",2022-12-14,2022-12-06,"S58_H","ALLI",2022-12-06
"15529","S58_H",2022-12-07,64.06,"",2022-12-14,2022-12-07,"S58_H","ALLI",2022-12-07
"15529","S58_H",2022-12-08,64.06,"",2022-12-14,2022-12-08,"S58_H","ALLI",2022-12-08
"15529","S58_H",2022-12-09,64.05,"",2022-12-14,2022-12-09,"S58_H","ALLI",2022-12-09
"15529","S58_H",2022-12-10,64.04,"",2022-12-14,2022-12-10,"S58_H","ALLI",2022-12-10
"15529","S58_H",2022-12-11,64.02,"",2022-12-14,2022-12-11,"S58_H","ALLI",2022-12-11
"15529","S58_H",2022-12-12,64.01,"",2022-12-14,2022-12-12,"S58_H","ALLI",2022-12-12
"15529","S58_H",2022-12-13,64,"",2022-12-22,2022-12-13,"S58_H","ALLI",2022-12-13
"15529","S58_H",2022-12-14,64.03,"",2022-12-22,2022-12-14,"S58_H","ALLI",2022-12-14
"15529","S58_H",2022-12-15,64.08,"",2022-12-22,2022-12-15,"S58_H","ALLI",2022-12-15
"15529","S58_H",2022-12-16,64.07,"",2022-12-22,2022-12-16,"S58_H","ALLI",2022-12-16
"15529","S58_H",2022-12-17,64.03,"",2022-12-22,2022-12-17,"S58_H","ALLI",2022-12-17
"15529","S58_H",2022-12-18,64.02,"",2022-12-22,2022-12-18,"S58_H","ALLI",2022-12-18
"15529","S58_H",2022-12-19,64.02,"",2022-12-22,2022-12-19,"S58_H","ALLI",2022-12-19
"15529","S58_H",2022-12-20,64.03,"",2022-12-22,2022-12-20,"S58_H","ALLI",2022-12-20
"15529","S58_H",2022-12-21,64.04,"",2023-01-03,2022-12-21,"S58_H","ALLI",2022-12-21
"15529","S58_H",2022-12-22,64.06,"",2023-01-03,2022-12-22,"S58_H","ALLI",2022-12-22
"15529","S58_H",2022-12-23,64.08,"",2023-01-03,2022-12-23,"S58_H","ALLI",2022-12-23
"15529","S58_H",2022-12-24,64.04,"",2023-01-03,2022-12-24,"S58_H","ALLI",2022-12-24
"15529","S58_H",2022-12-25,64.03,"",2023-01-03,2022-12-25,"S58_H","ALLI",2022-12-25
"15529","S58_H",2022-12-26,64.03,"",2023-01-03,2022-12-26,"S58_H","ALLI",2022-12-26
"15529","S58_H",2022-12-27,64.02,"",2023-01-03,2022-12-27,"S58_H","ALLI",2022-12-27
"15529","S58_H",2022-12-28,64.03,"",2023-01-03,2022-12-28,"S58_H","ALLI",2022-12-28
"15529","S58_H",2022-12-29,64.04,"",2023-01-03,2022-12-29,"S58_H","ALLI",2022-12-29
"15529","S58_H",2022-12-30,64.04,"",2023-01-03,2022-12-30,"S58_H","ALLI",2022-12-30
"15529","S58_H",2022-12-31,64.06,"",2023-01-03,2022-12-31,"S58_H","ALLI",2022-12-31
"15529","S58_H",2023-01-01,64.06,"",2023-01-03,2023-01-01,"S58_H","ALLI",2023-01-01
"15529","S58_H",2023-01-02,64.05,"",2023-01-10,2023-01-02,"S58_H","ALLI",2023-01-02
"15529","S58_H",2023-01-03,64.06,"",2023-01-10,2023-01-03,"S58_H","ALLI",2023-01-03
"15529","S58_H",2023-01-04,64.07,"",2023-01-10,2023-01-04,"S58_H","ALLI",2023-01-04
"15529","S58_H",2023-01-05,64.08,"",2023-01-10,2023-01-05,"S58_H","ALLI",2023-01-05
"15529","S58_H",2023-01-06,64.08,"",2023-01-10,2023-01-06,"S58_H","ALLI",2023-01-06
"15529","S58_H",2023-01-07,64.06,"",2023-01-10,2023-01-07,"S58_H","ALLI",2023-01-07
"15529","S58_H",2023-01-08,64.04,"",2023-01-10,2023-01-08,"S58_H","ALLI",2023-01-08
"15529","S58_H",2023-01-09,64.03,"",2023-01-19,2023-01-09,"S58_H","ALLI",2023-01-09
"15529","S58_H",2023-01-10,64.02,"",2023-01-19,2023-01-10,"S58_H","ALLI",2023-01-10
"15529","S58_H",2023-01-11,64.01,"",2023-01-19,2023-01-11,"S58_H","ALLI",2023-01-11
"15529","S58_H",2023-01-12,64.01,"",2023-01-19,2023-01-12,"S58_H","ALLI",2023-01-12
